ID,Score,Review
10,5,"It’s almost perfect!This is our 4th Dyson and the best so far
Waste bin size is great
Can vacuum a 390sqm home easily on one charge
Easy to assemble and use
Floor washing is brilliant - ensure the roller is wet before you start though.
Loses points as the crevice tool is stored in the neck of the vacuum reducing the size of waste traveling good up the tube. Had one blockage already.
Overall a great stick vacuum and would recommend"
11,5,Large bin and powerfulThis extra outsize Dyson will clean any large home without emptying the bin. It has 3 power suction settings with the medium setting giving about 45 minutes vacuuming time and the extra powerful Boost setting about 10 minutes. It comes with loads of accessories for every possible need. Once finished simply hang back in its wall charging bracket to recharge battery in quick time. 
12,5,"Too Much Fun(For those wondering like I was, the Absolute Extra package is the Outsize gold edition + stand.)
Purchased this on the advice of another Border Collie owner. I was struggling with the amount of hair I had to vacuum up each week (was using an older ball/barrel type). I was dubious because:
1. Dyson are expensive, and
2. Everyone says cordless stick vacs can't keep up

This one can. It absolutely can. The cannister size is a must for long-haired dog owners, as is the fur/hair attachment. It's also a stupid amount of fun to use. On ECO I get 45 minutes of vacuuming time. On Auto, I get 20-25 (mixed carpet/tile floors). On Boost I get 15 (I find 10 minutes every few days more than sufficient though, so I've never come close to running the battery down). It's a little heavier than its smaller counterpart (no surprises there), but you get used to it after a day or so. Also, having the stand is a nice addition.

My only gripe (and the reason for the 4/5 stars) is Dyson's approach to pricing. I ordered the vacuum a week before it went on sale on their website, $250 cheaper than if I'd waited seven days. Dyson refused to match, saying it's not policy. Okay, understandable, but still annoyed. Not annoyed enough to leave anything less than four stars though, because this vacuum really is amazing."
13,5,"Love it, powerful, great for large homes with petsJust purchased the Dyson Outsize Absolute Extra and have been using it for a week. We have a large house with over 280 square meters of living space with tiles and carpets. On first pass it filled the entire bin as per attached pic. I am very impressed with what it sucked out of the carpets as I was using a Meile corded vacuum (designed specifically for pets) and the new Dyson cordless picked up more debris from the carpets then a corded vacuum. As such, this is the first cordless vacuum that I would state as having the power of a corded vacuum. It also transitions seamlessly from hard floor to carpets. And more impressive is the anti tangle feature as I have 2 daughters with very long hair plus a dog and the hair did not wrap around the motor-bar roller which was a pet hate with the old Dyson v6 that has since died. Only drawback is that is that the unit is a little bulky and my wrist got a little tied after cleaning the entire house. And I'm still waiting for the extension hose which I'll use to clean the car. I bought the Dyson Outsize Absolute Extra recently for only $1250 with stand and the extension hose. I was also considering the v15 at $1499 but with the discount it was great value for money plus the Outsize is fantastic for large homes with pets. Battery life is excellent as I still had 50% remaining after vacuuming 280 square meters. And its very easy to maintain as you can remove the motor-bar roller in seconds as well as the main barrel from the main unit."
14,5,"Dyson Outsize - takes the chore out of vacumming!We purchased this vacuum for our timber laminate flooring. We liked the oversized head which covered the floor area in a quicker time. Along with the super strong suction and oversized catch bin it made the choice easy. We're definitely thrilled with the purchase and the whole house is done very quickly AND thoroughly!! It draws up the finest dirt particles and pet hair disappears in an instant!! Whilst it's a tad on the heavy side, that's to be expected with an oversize head & bin."
15,5,"Convenient, good suction but terrible batteryI really loved this vacuum. It is very convenient and easy to use. I used it for quick cleaning on coaches and inside my car. The battery did not last though. I bought a replacement battery, it only lasted a month.
Pros
- very handy
- convenient
- perfect quick and light vacuuming
- easy to clean and empty

Cons
- you have to keep holding the power button to operate
- battery did not last long"
16,5,"Perfect for a quick clean upI've owned mine for over 2 years and absolutely love it. On advice from my mum, I hardly ever use the max setting as this seems to affect the battery performance over time. It works perfectly fine on the normal setting and is very handy for a quick clean up around the house (tiles and carpet flooring). A single charge lasts for about 20 minutes of use and it charges fairly quickly."
17,5,High quality as expectedI live in a small studio apartment in the city. V7 trigger is small enough but packed a lot of power and can pick the small dust particles. I have tiles in the kitchen otherwise carpet so the v7 really helps a lot to get rid of the dust. It has 2 settings: high and max suction The only thing could be improved is that max suction will last for over a little 5 minutes otherwise whole charge will last me many days of using it. It does not have a fast charge. You may also need an extension hose accessory which you need to buy a separately so you can vacuum cuum those crevices and tight spaces.
18,5,Good suctionIt has a good suction and it is easy to clean. Easy to through the rubbish and dust in the compartment. Overall I like it very much but the charge doesn’t last long. I use it with high power and last only 6minutes. But it’s good enough for me.
19,5,"Your carpet isn't clean until you use this DysonWe thought the old Hoover wasn't cleaning properly, it had good suction but seemed to leave a lot of fur and stuff behind. Bought this Dyson and never thought we had so much hair, fluff and dirt still in the carpet. We have a large rug and it looks like new now, could not be happier with this vacuum, especially when compared to those expensive stick vacs."
20,5,"This is a life changing cleaning machine!I've had this for a week now - when it first arrived I used my old vac first, so I could see what else came out of the carpets, and it was a LOT. I have 2 dogs - one with long black fur and one with short black and white fur - and it is everywhere. The Dyson didn't skip a beat - it just sucked it all up, along with my hair and everything else - and it's so easy to empty. I had read reviews that it's heavy - well, it's not (I'm used to carrying 25kg bags of chook food, so this is less than half that). It's easy to carry up the stairs, I love the fact that it is an upright, and it stands neatly in a corner, ready to remove fur at a moments notice. My previous vacuum was an expensive Electrolux pet vacuum that just moved the fur around and became clogged. This does what it promises after one or two swipes over any area. And it has pulled embedded dirt from between floorboards and even out of the grout between tiles. I would say that this is the best vacuum I've ever had - and it's especially good at preventing the floating rafts of fur I have become accustomed to floating across the floor since I became a dog person."
21,5,"This is the best vacuum cleaner I've ever!My previous vacuum cleaner of 10 years died, and I decided to replace it with the same brand.
This one is more powerful and easy to maneuver, I love the fact that the head is smaller and fits perfectly in smaller places. The cord is longer which means I can nearly do my whole house in one go! "
22,5,"BrilliantThis machine is worth its weight in gold. Easy to set up and use, it's quiet and cleans the floors beautifully. Bought a second dock from the Dyson website for surprisingly little, so it can do the top floor too, but the whole unit is so light you could easily just pick it up and plug it in on another floor Previously had a Roomba J9+ that I ended up returning and the whole unit was so heavy I couldn't get even lift it myself. This one is far, far superior."
23,5,"Perfect all rounder vacuum for the neat freakA great vacuum with the added convenience of a larger bin . The laser technology on the Motörhead is absolutely amazing ! I vacuumed with our old vac and then tried the gen5 outsize with the laser head and you wouldn’t believe how much dust our old vacuum left behind! The laser shows up the dirty floors and it’s easy to see after going over the floor with this product how effective it is at removing dust, dirt and even works superbly to remove all traces of pet hair. Works great on hard or soft floors, just attach the soft head for hard floors that are prone to scratches and your set. Comes with lots of handy little attachments for various uses. Very impressed with this machine and will continue using at home and also for our cleaning business."
24,5,"Surprisingly goodI have had this vacuum for a couple of months. It is used exclusively on hard floors (tiles), so I can't really comment how it would go on carpet.
I am quite happy with it's performance. It has an ""Auto"" setting for the suction level which provides for a reasonable run time and is effective for cleaning my floors.

On ""Turbo"" the suction is surprisingly strong for a stick vacuum, although on this setting run time is pretty short - perhaps 5 or 6 minutes only.

The machine is pretty quiet, it's fairly easy to use and seems well constructed.

On the minus side the vacuum (and it's wall mounted dock) are a bit bulky, and the dock is slightly awkward to position the vacuum on.

I took one star off for the fact that the self cleaning brush roll function really doesn't work. You still need to manually remove the brush roll and pull / cut away any tangled hair. At least the brush roll is easy to remove, with no tools needed (although the metal retaining spring that sits over it is hard to open and even harder to snap closed).

Overall I am quite happy with this vacuum - particularly at the price paid of $284.

Recommended."
25,5,"Can't live without my robotMy robot cleans every day and it's amazing how much she picks up when you think your place is clean. I have hard floors and a few mats, a couple of small steps and she manages incredibly well. Custom service is spot on."
26,5,"Love the Electrolux UltimateHome 700 vacuum cleanerI want to buy a cheap vaccum cleaner to support my Dyson stick vacuum as it only lasts about 20 minutes and to get into difficult spots that the Dyson can’t. I did not want to spend more than $300.
I saw the UltimateHome 700 at the Good Guys. The vaccum looks cheap and nasty but don’t let that fools you.

Instead of using my Dyson, I made the decision to try out the new vaccum cleaner and I was surprise and shock how much dirt was in the dust bin.

Best investment I ever made."
27,5,"Excellent robot vacuumHave had this i9.2 (Animal edition) running for a few weeks now, and it does an amazing job on our all lino floored living area.
Once it has 'learned' the floor mapping, it is super easy to break the map up into zones, and size them to be done in a single battery charge. Best life from battery so far is around 45 minutes, and it cleans around 45sq meters of hard floor.

The 0.7 litre bin is plenty for our usage, and is very easy to clean. The dust filter is protected by a mesh screen inside the bin as well, and animal hair is easily removed.

The app (Electrolux 'Wellbeing') is excellent, and very easy to use on iOS.

Pro's - Small and triangle means it gets into corners and around office chairs well.
- excellent cleaning on hard floors.
- good bin size, and easy to clean.
- battery life is fine, recharges quickly.
- excellent at navigating, very gentle.

Con - is very sensitive to height, and wont go under the couch despite having plenty of clearance. I cant find a setting to change that. Would have been 5 star review otherwise.

Purchased from HN - $650 or so - the Animal version is a bit more than the version listed at top of page.

Very impressed, highly recommended."
28,5,"It Does What Its Supposed ToWe replaced the equivalent Bosch rechargeable with this. Much better! LED is very handy for showing up dirt, the service duration is good after a full charge, and its easy to empty and clean. Useful as a hand-held too."
29,5,"Effective cleaning and amazing battery lifeWe got this vacuum as a replacement under a warranty claim from Electrolux (who were great to deal with). The old version which died was a well loved machine in our house and this newer model does not disappoint.
The battery lasts long enough to vacuum our largeish two storey house including carpet, tiles and hardwood floors.
The machine is very maneuverable and the LED lights on the head help to track down otherwise invisible dust in low light.
The canister is easy to empty and always contains a pleasing yet slightly disturbing amount of dust, hair and grime.
The detachable hand unit is great for cleaning the inside of the car and probably does 80% as good a job as our much larger plug in Electrolux ultra silencer vacuum.
The vacuum comes with a lot of attachments we haven't used yet, but we are looking forward to deploying it to get rid of dust on our wooden Venetian blinds.
Highly recommended unit and amazing value for the usual purchase price."
30,5,"Excellent choiceI have a Hoover Vortex Pro that is awful. So, buying a stick vacuum for my daughter I did a lot of research before buying and am very happy with my choice. It is light and easy to use. The hand held unit clips in and out smoothly. Cleans effectively, quiet, the swivel head is really good, light is handy and the battery lasts well. It is easy to empty the dirt chamber (Hoover is impossible) and clean the filter, and we are amazed how much dirt it picks up, and we are clean people! Definitely recommend to buy this one."
31,5,"Finally a stick vacuum with a useful crevice tool! 5 STARS!Our 5 year old cordless stick vacuum battery died. As we were so happy with the model and after a lot a research on other brands, we decided to stay with the same model mainly for the swivel head. I waited patiently for the unit to come on sale, so we saved almost $100.
We were pleasantly surprised with all the new tools that came with this
Ergorapido 18V cordless vacuum. The old one had only the mini useless crevice tool.

The new long crevice tool actually does fit in the window tracks. Hallelujah finally one that fits!

I have taken a photo to compare to the Dyson v11 crevice tool which is too wide to fit into window tracks.

Instructions are more Ikea like, in other words, no words! No online manual either.

Without instructions, with the old unit we did not realise for 2 years that the crevice tool was stored in the charging unit. Same for the new model. See photo.

DO NOT be persuaded to buy the 14v model to save money. You need the extra sucking power of the 18v model which is the one I am reviewing.

This improved model has a larger window to see if the barrel needs to be emptied. I like that.

Love the charging stand. Another reason for buying this brand."
32,5,"Great machine!Excellent for quick vacuums and more! Just become familiar with cleaning the filters. ( have a spare or 3!). And beware of hair in the head. Remove it and cut any hair off. I own two of them.
Garry."
33,5,"Great Second VacThis a great second vacuum for everyday use. We get the main cleaner out periodically for a deeper clean though this is less often now. If the speed with which the canister fills is anything to go by it does a good job on both hard floors and carpets. It's size and manoeuvrability makes it great for tight and low clearance and stairs. It has plenty of charge for the way we use it. Emptying the canister is easy. It is well-built and doesn't take up much space when not it use. Better than I expected, this is a perfect ""between deep clean"" vacuum."
34,5,"Excellent suction but the cord does not retract!!Fantastic suction I use it on carpet and tiles, it literally lifts the carpet up it is that good! It has lifted out a lot of dirt and dust even after I used my Dyson! It's very light and easy to move around. The only issue is that my cord will not retract!! Very annoying."
35,5,"Best vacuum cleaner everI tested this in the store and couldn't believe the suction compared to other vacuums. It is really light to manoeuvre, with a very long cord, which is very useful and removing the dust drawer is super easer. It's a great design, very quiet and very straight forward to use and most importantly has the best suction of any vacuum I've ever used. Fantastic price too for such an amazing product. Highly recommend."
36,5,So powerfulI replaced my Dyson for this vac I should have done so a couple of years ago. It is so powerful super long cord no need for an extension lead. I will never go back to Dyson now I have this. One down side the plastic doesn’t seem as strong as the Dyson. So will see how long it lasts but performance wise 10/10
37,5,"An exceptional vacuum for the priceI've had this vac since May 2020. The cord is awesome. It is so long, that I can do the whole house without changing power points. The suction is incredible, unless you have very low pile carpet, you won't be able to use full power as the suction is very strong. Beats the previous Dyson ball vac hands down. Whilst it isn't silent, it is still very quiet. Being bagless, it is a breeze to empty and no worries about buying bags."
38,5,"Perfect vacuum, except cord is not rolled backWe had the vacuum for almost a year, it's great vacuum for it's price and performance, however almost since we bought it the cord stopped rolling back. So we have always about half a metre out of it. "
39,5,"Best vacuum cleanerThis vacuum cleaner was an ""emergency"" click and collect purchase after my previous one (Vax animal) broke down during lockdown after just 7months of use. I am super delighted with this Electrolux vacuum cleaner. It is used on carpet (carpet everywhere!) and whilst it is not a lightweight performer it is doing an amazing job in getting lots of dirt, dust out of the carpet. I love how quiet it is (after the VAX)and its long cable is amazing. It is so powerful that if I change the setting to the max I cannot even lift it up from the carpet - it gives you a workout- and yet it is quiet. One thing I would change: put the green, yellow and red tapes on the cord so that one knows how much more to the end of it - especially when it is this long. Overall, I am super impressed in this vacuum cleaner, excellent value, hopefully lasts 5years :)"
40,5,Best Vacuum Ever!I highly recommend this vacuum very light easy to manoeuvre also very powerful! Works great on tiles and carpet! I can’t believe all the things it picks up and despite it’s not the silent performer one it’s relatively quiet. Overall I’m very happy with my purchase.
41,5,"Excellent MachineElectrolux really does its best with what they have been doing forever, make great vacuums. I mostly have hard surfaces in my house and few rugs, it's great on both. It's easy to empty and you can easily see how much dust is in the clear dust case. I have some allergies and I don't get any sniffles either when using this vacuum or afterward. If you want an awesome bagless vac, then this is it."
42,5,"Best VacuumWe have a multi cat household. We have carpet in the bedrooms and tiles and rugs elsewhere. This vacuum cleaner is, without a doubt, one of the best I've owned. I have to vacuum each day and it breezes through the house beautifully. Excellent value."
43,5,"Excellent performance, great priceExcellent suction. I have 3 dogs and it picked up all their fur from the carpet. The cyclonic/filter set up performs strongly, captures all the fine dust. Runs reasonably quietly, long cord, good accessories. Would recommend it over other name brands."
44,5,Excellent Vacuum cleanerFor the price this is a very well performing vacuum. It is extra quiet and lifts dirt very well. We have used ours now for about 15 months and never had any issues with it. Very good all round vacuum.
45,5,"Impressive!Bought this vacuum today and OMG! I had the house cleaned last week but still managed to get 3 bags full of pet hair off the carpeted area in the living room. Great suction even at minimum and needs no effort to push around. Other reviews have mentioned short cord, didnt find that an issue. Happy with it, lets hope it continues to please."
46,5,"So impressed with my vacuum!I bought this as it was an affordable vacuum. I wasn't expecting it to be great, however the power in this vacuum has me so impressed. It's quiet enough that I can vacuum when the baby is asleep which is perfect. Filter is easy to clean, and it packs away well for storage."
47,5,"Awesome ProductWe bought Electrolux Silent Performer Green Barrel Vacuum and we really like it. It does an amazing job because when we just moved in, after 2 days we used the vacuum to clean the place and we got a lot of dirt, which we thought we shouldn't have since we just moved in and for sure the place was cleaned properly."
48,5,"Very quietOn hard floors works well. On carpets it’s good enough for what you need. Would possibly help having a motorised brush head. Have to turn the power to minimum for doing rugs. So quiet compared to others, you can even have a conversation whilst using."
49,5,"Love it it's awesomeThis is the most powerful vacuum I've ever had, and am completely happy with it. Could not believe what it picked up. Easy to empty, easy to use, long cord etc. At such a reasonable price you can't go wrong."
50,5,"Cleans WellThis vacuum cleaner is very easy to use, durable and really does the job. It is very powerful, so if you've got so much dust at home and you really need to clean every day, this one's for you. However, it is quite noisy, bulky and heavy, so it is not really advisable for those who have two-floor houses. But overall, it does perform well and it's very easy to maintain."
51,5,ImpressedI purchased this vacuum from The Good Guys and they were flexible on price and the sales person was across the aspects of the model. I have been impressed with its performance. I have only previously owned Dyson's and this vacuum is out performing the Dyson for suction and cleaning for the price. Highly recommend
52,5,"Great vacuum minor issuesOwned for 10 months now. This vacuum is probably the best vacuum I have ever used or had. It has extreme carpet lifting suction. Only two gripes. The lead is short, you have to move room to room. If only it was even just one metre longer. The other issue is the rear(final filter), it is washable but the two layers of filter come apart after first wash so will need to replace after maybe 6 months if you have messy kids and animals with finer dust. It does benefit from a good wipe out and all filter wash after maybe every third fill especially if a lot of finer dust in the place. Overall great vacuum though."
53,5,"Huge suckage! Not so huge silence!I bought this vacuum to replace a Dyson and a Vax, both bagless and both absolute wastes of money. We have a hairy household; 3 humans with hair and 3 cats who seem to shed more hair than they own. This vacuum sucks so hard it lifts my carpet up. I've had to dial it down to prevent it from removing my carpet all together. It doesn't come with a powered head so it does require significant strength to push it across the carpet, but I bought a cheap $36 head from ebay that fits all and it does the job perfectly, though the amount of suction still means I get a good workout. Combined with the amount of heat this sucker pumps out you'll sweat and feel like you've done a good cardio session after vaccing. I'm not sure if this is a pro or con, but considering I vacuumed the house with way less swearing than I usually do with the bagless varieties, even taking into account the sweat, I'm calling it a win.
One thing though; whatever marketing genius came up with this name must be residing on an alternate universe. Or lives in space where there's no sound. This machine howls. And screams. And is quite honestly deafening. While I didn't mind the sweat, it took longer for me to regain my hearing. My kids found it hilarious to yell at me about how loud the silence was while I was unable to her anything apart from the sonic boom of this thing. So don't expect silence, or even relative quiet. This machine is LOUD! But it sucks really well. And you get a free workout. All up I'm strangely happy and would recommend.

Edit:
A year later and I absolutely love this vaccuum! It does the job so well. Still not silent, and the cats flee as soon as I touch it, but it's great! If it dies I'd buy another in a heartbeat (here's hoping it keeps on keeping on though)."
54,5,"After much research and value for money considerations we bought an Electrolux Stick VacuumThe Dyson was our first choice based on neighbors experience and reviews posted on line from various sources. The cost of same was ridiculous by comparison with other similar units.
We bought an Electrolux WellQ7 model mainly to be used on hard floors with some carpet and rug applications. The warranty submission was easy on line and the charging system is simple and easy to use.
The unit charges quickly, the light on the front that we thought may be a gimmick is actually very helpful and we find the cleaner is easy to use with a simple on off switch that you do not have to hold like a trigger switch. It came with two heads and although early days we are happy with the suction and brush arrangement and can get the unit under most beds and furniture.
The unit cost $435 from Betta Electrical and the advice and purchase from the vendor was helpful."
55,5,Very pretty but frustrating to upkeepIt often turns off when fully charged. It does not seem very powerful. A somewhat frustrating device with a cute light and nice design.
56,5,In constant use!I did a lot of research on this site before purchasing this vac. I already have the Hoover Cat & Dog but hauling it around daily during the Feb/March shedding months has been a chore. The Q7 is light and easy on the back and perfect for zipping around at any time. The car is much cleaner as well! The headlight and swivell head are both fantastic! I ordered online at Godfrey's and received the vac within 48hrs.
57,5,"Big Improvement over the old ErgorapidoGot this to replace an old Ergorapido Lithium.
Works very well, battery sufficient to do all carpets and hard floors in the house.
Small power head attachment is great for the car and small jobs.
Only issue is the charging station is a bit flimsy compared to the Ergorapido"
58,5,"Great Vacuum CleanerWe have a short haired dog and regularly vacuum the place. Purchased this as a small second vacuum to have around for quick jobs. After seeing how much stuff this picked up from our, what we already thought was clean, carpet, we now use it more than the corded vacuum we have. Love it.
Battery life is around 25-30min, which I find pretty good."
59,5,"Very Handy, love itHad one of these electrolux years ago swore I would never buy another as after a while they just keep switching off by them selves. Here I am with a new one love it, but the first one I bought 4 weeks ago started switching off after 30 seconds turn back on and it switches off again so I took it back and they have replaced it with another one the same, and I am very happy with it, just hope it lasts."
60,5,"Great VacuumI use this vacuum on both my carpet and tiles floors. Great, handy machine and love the fact that it has a light so you can see spots that you may have missed.
I feel this works better on the tiles than carpet, but overall I am happy with the battery life and weight. Quick and easy to clean as well!"
61,5,"Great timesaverThis is a great rechargeable vacuum cleaner. I love that I can press the button and vacuum stays on, no more holding down the button to keep appliance working. It has great suction and long battery life, highly recommended, not as expensive as some of the other brands on the market."
62,5,"pets and people this is the best value upright vacuum cleanerno matter how many times you you vacuum one spot that pet hair won't be picked up to your satisfaction... unless you buy the electrolux upright vacuum cleaner Well Q7. If you pay under $300 , you are wasting your money . Great for the elderly, great for domestic cleaning businesses, this grab and go has the power it takes to clean up your beloved pet's hairs or a quick ""do over"" at home. The fact the hand held is at the base, not the top, gives great balance and no strain on the wrists. commercial domestic cleaners will love it for it's ease of use , one fully charged will get your job done with ease. Highly recommended after wasting money on the imitations. nearly two years on this vacuum works as well as the day we started it's heavy duty usage. Very happy with this product."
63,5,"A great vacuum and so pretty!I was looking for a new stick vacuum that also doubled as a handheld dust buster with a skinny head (to get down the sides of car seats etc) and this one was just perfect. Not only is it super pretty (red is my colour scheme, so I was stoked!), it has fantastic suction and picks up things in corners and along walls without having to face the head into the wall, you just run along side. It is lightweight, has a very handy light on the front and is easy to clean and empty. Picks up dog hair, dirt and other small debris without having to run over the carpet 5 times. Short battery life so you couldn't do the whole house in one sweep, but it charges pretty quickly and is great for spot cleans. So happy with this purchase!"
